datetime,open,high,low,close,volume
2026-07-22 09:15:01,23410.5,23425.0,23405.0,23420.0,0
2026-07-22 09:15:02,23420.0,23435.0,23418.0,23430.0,0
2026-07-22 09:15:03,23430.0,23440.0,23425.0,23438.0,0
2026-07-22 09:15:04,23438.0,23445.0,23432.0,23442.0,0
2026-07-22 09:15:05,23442.0,23448.0,23435.0,23440.0,0
2026-07-22 09:15:06,23440.0,23452.0,23438.0,23450.0,0
2026-07-22 09:15:07,23450.0,23458.0,23445.0,23455.0,0
2026-07-22 09:15:08,23455.0,23462.0,23450.0,23460.0,0
2026-07-22 09:15:09,23460.0,23468.0,23455.0,23465.0,0
2026-07-22 09:15:10,23465.0,23472.0,23460.0,23470.0,0
