datetime,open,high,low,close,volume
2026-07-22 09:15:01,52410.5,52430.0,52405.0,52425.0,0
2026-07-22 09:15:02,52425.0,52445.0,52420.0,52440.0,0
2026-07-22 09:15:03,52440.0,52450.0,52435.0,52448.0,0
2026-07-22 09:15:04,52448.0,52460.0,52442.0,52455.0,0
2026-07-22 09:15:05,52455.0,52458.0,52445.0,52450.0,0
2026-07-22 09:15:06,52450.0,52465.0,52448.0,52462.0,0
2026-07-22 09:15:07,52462.0,52470.0,52458.0,52468.0,0
2026-07-22 09:15:08,52468.0,52475.0,52460.0,52472.0,0
2026-07-22 09:15:09,52472.0,52480.0,52465.0,52478.0,0
2026-07-22 09:15:10,52478.0,52485.0,52470.0,52482.0,0
