datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,theta,vega
2026-07-17 09:21:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1425,0.654,0.00012,-4.52,18.45
2026-07-17 09:22:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1426,0.654,0.00012,-4.52,18.45
2026-07-17 09:23:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1425,0.653,0.00012,-4.53,18.44
2026-07-17 09:24:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1428,0.655,0.00012,-4.52,18.46
2026-07-17 09:25:00,2992.2,2992.2,2991.9,2992.2,130,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1430,0.656,0.00012,-4.51,18.48
2026-07-17 09:26:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1430,0.656,0.00012,-4.51,18.48
2026-07-17 09:27:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1429,0.655,0.00012,-4.51,18.47
2026-07-17 09:28:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1429,0.655,0.00012,-4.51,18.47
2026-07-17 09:29:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1428,0.654,0.00012,-4.52,18.46
2026-07-17 09:30:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1428,0.654,0.00012,-4.52,18.46
